SRCID,D3,D3_norm,D1_avg,D1_norm,A4_avg,A4_norm,A3,A3_norm,A1,A1_norm,B1a,B1b,B1c,B1d,B1_avg,B1_avg_norm,B4,B4_norm,B6f,B6g,B6_avg,B6_avg_norm,B7,B7_norm,V1,V1_binary,V1_norm
1028,1,0,1,0,2.333333333,0.444444444,8,0.8,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,5,5,5,1,3,1,1,0,0
2077,1,0,3,0.5,2.333333333,0.444444444,6,0.6,2,0.25,1,2,1,1,1.25,0.25,2,0.333333333,3,3,3,0.5,1,0,4,1,1
1393,3,0.666666667,2.8,0.45,1.833333333,0.277777778,6,0.6,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,2,2,2,0.25,2,0.5,4,1,1
1523,3,0.666666667,2.6,0.4,2,0.333333333,8,0.8,5,1,2,2,2,1,1.75,0.75,2,0.333333333,2,5,3.5,0.625,1,0,4,1,1
195,3,0.666666667,3.2,0.55,3,0.666666667,3,0.3,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,5,5,1,2,0.5,3,0,0.666666667
3191,4,1,2,0.25,3.166666667,0.722222222,3,0.3,5,1,2,2,2,2,2,1,4,1,5,5,5,1,3,1,1,0,0
1318,1,0,1.2,0.05,2,0.333333333,9,0.9,2,0.25,2,2,1,2,1.75,0.75,3,0.666666667,4,4,4,0.75,1,0,3,0,0.666666667
920,1,0,1,0,1,0,9,0.9,2,0.25,1,2,2,2,1.75,0.75,4,1,4,5,4.5,0.875,3,1,2,0,0.333333333
1514,1,0,1,0,2.333333333,0.444444444,5,0.5,2,0.25,2,2,2,1,1.75,0.75,2,0.333333333,2,1,1.5,0.125,1,0,4,1,1
2251,1,0,1.2,0.05,2.5,0.5,8,0.8,2,0.25,2,2,2,2,2,1,3,0.666666667,4,5,4.5,0.875,2,0.5,4,1,1
1096,2,0.333333333,1.8,0.2,1.833333333,0.277777778,7,0.7,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,1,1,1,0,3,1,3,0,0.666666667
1235,1,0,1,0,1.166666667,0.055555556,7,0.7,2,0.25,1,1,2,1,1.25,0.25,3,0.666666667,5,5,5,1,2,0.5,4,1,1
1371,4,1,3.2,0.55,2,0.333333333,5,0.5,2,0.25,2,2,2,1,1.75,0.75,3,0.666666667,5,4,4.5,0.875,3,1,3,0,0.666666667
